"","Year","Month","Text","Count"
"1",2020,2,"coronavirus",74612
"2",2020,2,"covid-19",10950
"3",2020,2,"ibuprofeno",6973
"4",2020,2,"covid19",5823
"5",2020,2,"mobile world congress",2576
"6",2020,4,"covid-19",63272
"7",2020,4,"covid",22514
"8",2020,4,"coronavirus",21717
"9",2020,4,"covid19",18207
"10",2020,4,"sars-cov-2",7954
"11",2020,5,"covid-19",210229
"12",2020,5,"covid",83597
"13",2020,5,"coronavirus",77851
"14",2020,5,"covid19",77479
"15",2020,5,"8m",18871
"16",2020,6,"covid-19",254199
"17",2020,6,"covid19",129735
"18",2020,6,"coronavirus",91839
"19",2020,6,"covid",85943
"20",2020,6,"twitter",13935
"21",2020,7,"covid-19",71239
"22",2020,7,"covid",37465
"23",2020,7,"covid19",36699
"24",2020,7,"coronavirus",17993
"25",2020,7,"cov",13408
"26",2020,8,"covid-19",175058
"27",2020,8,"covid19",96879
"28",2020,8,"covid",85376
"29",2020,8,"coronavirus",38824
"30",2020,8,"o2",14504
"31",2020,9,"covid-19",467494
"32",2020,9,"covid19",273133
"33",2020,9,"covid",234735
"34",2020,9,"coronavirus",118549
"35",2020,9,"vamosvenciendoalcovid19",21704
"36",2020,10,"covid-19",57779
"37",2020,10,"covid19",35770
"38",2020,10,"covid",30051
"39",2020,10,"coronavirus",13657
"40",2020,10,"champions",3075
"41",2020,11,"covid-19",96357
"42",2020,11,"covid",57455
"43",2020,11,"covid19",51489
"44",2020,11,"ganemoslabatallaalcovid19",26612
"45",2020,11,"coronavirus",18910
"46",2020,12,"covid-19",1582389
"47",2020,12,"covid",938151
"48",2020,12,"covid19",758546
"49",2020,12,"coronavirus",372313
"50",2020,12,"cuídatedelcovid19",50418
"51",2021,1,"covid-19",2915609
"52",2021,1,"covid",1751451
"53",2021,1,"covid19",1517001
"54",2021,1,"coronavirus",560786
"55",2021,1,"combatealcovid19",51619
"56",2021,2,"covid-19",2029824
"57",2021,2,"covid19",1119916
"58",2021,2,"covid",1093480
"59",2021,2,"coronavirus",347430
"60",2021,2,"sputnik v",31862
"61",2021,3,"covid-19",3006486
"62",2021,3,"covid19",1808123
"63",2021,3,"covid",1548849
"64",2021,3,"coronavirus",487073
"65",2021,3,"activoscontraelvirus",71026
"66",2021,4,"covid-19",3413280
"67",2021,4,"covid",1721260
"68",2021,4,"covid19",1475546
"69",2021,4,"coronavirus",406865
"70",2021,4,"lacovidnoesjuego",88437
"71",2021,5,"covid-19",1365906
"72",2021,5,"covid",1043377
"73",2021,5,"covid19",813762
"74",2021,5,"coronavirus",190568
"75",2021,5,"fuertescontralacovid",57146
"76",2021,6,"covid-19",1213903
"77",2021,6,"covid",1101525
"78",2021,6,"covid19",819966
"79",2021,6,"coronavirus",167747
"80",2021,6,"delta",76846
"81",2021,7,"covid-19",1275186
"82",2021,7,"covid",1162322
"83",2021,7,"covid19",982301
"84",2021,7,"coronavirus",161762
"85",2021,7,"delta",122289
"86",2021,8,"covid-19",1024288
"87",2021,8,"covid",958976
"88",2021,8,"covid19",807361
"89",2021,8,"coronavirus",96066
"90",2021,8,"delta",55149
"91",2021,9,"covid-19",712052
"92",2021,9,"covid",644283
"93",2021,9,"covid19",519414
"94",2021,9,"coronavirus",69435
"95",2021,9,"americans",15577
"96",2021,10,"covid-19",672350
"97",2021,10,"covid",523384
"98",2021,10,"covid19",417186
"99",2021,10,"coronavirus",72838
"100",2021,10,"delta",16441
"101",2021,11,"covid-19",690986
"102",2021,11,"covid",630523
"103",2021,11,"covid19",512407
"104",2021,11,"omicron",87372
"105",2021,11,"coronavirus",75355
"106",2021,12,"covid",271728
"107",2021,12,"covid-19",194718
"108",2021,12,"covid19",159409
"109",2021,12,"omicron",91394
"110",2021,12,"ómicron",53111
